child,field,target,targetField,cardinality,kind,nullable,populated,total,tier,administrative,notes
Access_Control__c,OwnerId,Group,Id,N:1 per target type,Polymorphic reference,False,,8503,support,True,"Administrative relationship; optional for business reporting. Population was not profiled. One field can reference one of Group, User. Coverage is field-level across all targets; isolate the target type before joining. Target is outside the described Tableau scope; target rows were not profiled. Child reference is required by schema. This does not mean every parent has a child."
Access_Control__c,OwnerId,User,Id,N:1 per target type,Polymorphic reference,False,,8503,support,True,"Administrative relationship; optional for business reporting. Population was not profiled. One field can reference one of Group, User. Coverage is field-level across all targets; isolate the target type before joining. Child reference is required by schema. This does not mean every parent has a child."
Access_Control__c,CreatedById,User,Id,N:1,Standard reference,False,,8503,support,True,Administrative relationship; optional for business reporting. Population was not profiled. Child reference is required by schema. This does not mean every parent has a child.
Access_Control__c,LastModifiedById,User,Id,N:1,Standard reference,False,,8503,support,True,Administrative relationship; optional for business reporting. Population was not profiled. Child reference is required by schema. This does not mean every parent has a child.
Access_Control__c,Inventory__c,Inventory__c,Id,N:1,Lookup,True,0,8503,core,False,
Access_Control__c,Order__c,Order,Id,N:1,Lookup,True,1,8503,core,False,
Account,MasterRecordId,Account,Id,N:1,Standard reference,True,0,101476,core,False,
Account,RecordTypeId,RecordType,Id,N:1,Standard reference,True,101471,101476,support,False,
Account,ParentId,Account,Id,N:1,Standard reference,True,98,101476,core,False,
Account,OwnerId,User,Id,N:1,Standard reference,False,,101476,support,True,Administrative relationship; optional for business reporting. Population was not profiled. Child reference is required by schema. This does not mean every parent has a child.
Account,CreatedById,User,Id,N:1,Standard reference,False,,101476,support,True,Administrative relationship; optional for business reporting. Population was not profiled. Child reference is required by schema. This does not mean every parent has a child.
Account,LastModifiedById,User,Id,N:1,Standard reference,False,,101476,support,True,Administrative relationship; optional for business reporting. Population was not profiled. Child reference is required by schema. This does not mean every parent has a child.
Asset,ContactId,Contact,Id,N:1,Standard reference,True,0,0,support,False,Child table is currently empty; this is an available schema relationship.
Asset,AccountId,Account,Id,N:1,Standard reference,True,0,0,support,False,Child table is currently empty; this is an available schema relationship.
Asset,ParentId,Asset,Id,N:1,Standard reference,True,0,0,support,False,Child table is currently empty; this is an available schema relationship.
Asset,RootAssetId,Asset,Id,N:1,Standard reference,True,0,0,support,False,Child table is currently empty; this is an available schema relationship.
Asset,Product2Id,Product2,Id,N:1,Standard reference,True,0,0,support,False,Child table is currently empty; this is an available schema relationship.
Asset,CreatedById,User,Id,N:1,Standard reference,False,,0,support,True,Administrative relationship; optional for business reporting. Population was not profiled. Child reference is required by schema. This does not mean every parent has a child. Child table is currently empty; this is an available schema relationship.
Asset,LastModifiedById,User,Id,N:1,Standard reference,False,,0,support,True,Administrative relationship; optional for business reporting. Population was not profiled. Child reference is required by schema. This does not mean every parent has a child. Child table is currently empty; this is an available schema relationship.
Asset,OwnerId,User,Id,N:1,Standard reference,False,,0,support,True,Administrative relationship; optional for business reporting. Population was not profiled. Child reference is required by schema. This does not mean every parent has a child. Child table is currently empty; this is an available schema relationship.
Asset,AssetProvidedById,Account,Id,N:1,Standard reference,True,0,0,support,False,Child table is currently empty; this is an available schema relationship.
Asset,AssetServicedById,Account,Id,N:1,Standard reference,True,0,0,support,False,Child table is currently empty; this is an available schema relationship.
Audience_Sub_Category__c,OwnerId,Group,Id,N:1 per target type,Polymorphic reference,False,,38,support,True,"Administrative relationship; optional for business reporting. Population was not profiled. One field can reference one of Group, User. Coverage is field-level across all targets; isolate the target type before joining. Target is outside the described Tableau scope; target rows were not profiled. Child reference is required by schema. This does not mean every parent has a child."
Audience_Sub_Category__c,OwnerId,User,Id,N:1 per target type,Polymorphic reference,False,,38,support,True,"Administrative relationship; optional for business reporting. Population was not profiled. One field can reference one of Group, User. Coverage is field-level across all targets; isolate the target type before joining. Child reference is required by schema. This does not mean every parent has a child."
Audience_Sub_Category__c,CreatedById,User,Id,N:1,Standard reference,False,,38,support,True,Administrative relationship; optional for business reporting. Population was not profiled. Child reference is required by schema. This does not mean every parent has a child.
Audience_Sub_Category__c,LastModifiedById,User,Id,N:1,Standard reference,False,,38,support,True,Administrative relationship; optional for business reporting. Population was not profiled. Child reference is required by schema. This does not mean every parent has a child.
Campaign,ParentId,Campaign,Id,N:1,Standard reference,True,1,3,support,False,
Campaign,OwnerId,User,Id,N:1,Standard reference,False,,3,support,True,Administrative relationship; optional for business reporting. Population was not profiled. Child reference is required by schema. This does not mean every parent has a child.
Campaign,CreatedById,User,Id,N:1,Standard reference,False,,3,support,True,Administrative relationship; optional for business reporting. Population was not profiled. Child reference is required by schema. This does not mean every parent has a child.
Campaign,LastModifiedById,User,Id,N:1,Standard reference,False,,3,support,True,Administrative relationship; optional for business reporting. Population was not profiled. Child reference is required by schema. This does not mean every parent has a child.
Campaign,CampaignMemberRecordTypeId,RecordType,Id,N:1,Standard reference,True,0,3,support,False,
Campaign,BriefId,Brief,Id,N:1,Standard reference,True,0,3,support,False,Target is outside the described Tableau scope; target rows were not profiled.
CampaignMember,CampaignId,Campaign,Id,N:1,Standard reference,False,15,15,support,False,Child reference is required by schema. This does not mean every parent has a child.
CampaignMember,LeadId,Lead,Id,N:1,Standard reference,True,10,15,support,False,
CampaignMember,ContactId,Contact,Id,N:1,Standard reference,True,5,15,support,False,
CampaignMember,CreatedById,User,Id,N:1,Standard reference,False,,15,support,True,Administrative relationship; optional for business reporting. Population was not profiled. Child reference is required by schema. This does not mean every parent has a child.
CampaignMember,LastModifiedById,User,Id,N:1,Standard reference,False,,15,support,True,Administrative relationship; optional for business reporting. Population was not profiled. Child reference is required by schema. This does not mean every parent has a child.
CampaignMember,LeadOrContactId,Account,Id,N:1 per target type,Polymorphic reference,True,15,15,support,False,"One field can reference one of Account, Contact, Lead. Coverage is field-level across all targets; isolate the target type before joining."
CampaignMember,LeadOrContactId,Contact,Id,N:1 per target type,Polymorphic reference,True,15,15,support,False,"One field can reference one of Account, Contact, Lead. Coverage is field-level across all targets; isolate the target type before joining."
CampaignMember,LeadOrContactId,Lead,Id,N:1 per target type,Polymorphic reference,True,15,15,support,False,"One field can reference one of Account, Contact, Lead. Coverage is field-level across all targets; isolate the target type before joining."
CampaignMember,LeadOrContactOwnerId,Group,Id,N:1 per target type,Polymorphic reference,True,15,15,support,False,"One field can reference one of Group, User. Coverage is field-level across all targets; isolate the target type before joining. Target is outside the described Tableau scope; target rows were not profiled."
CampaignMember,LeadOrContactOwnerId,User,Id,N:1 per target type,Polymorphic reference,True,15,15,support,False,"One field can reference one of Group, User. Coverage is field-level across all targets; isolate the target type before joining."
Catalog_Enrichment_Setting__c,SetupOwnerId,Organization,Id,N:1 per target type,Polymorphic reference,True,1,1,support,False,"One field can reference one of Organization, Profile, User. Coverage is field-level across all targets; isolate the target type before joining. Target is outside the described Tableau scope; target rows were not profiled."
Catalog_Enrichment_Setting__c,SetupOwnerId,Profile,Id,N:1 per target type,Polymorphic reference,True,1,1,support,False,"One field can reference one of Organization, Profile, User. Coverage is field-level across all targets; isolate the target type before joining. Target is outside the described Tableau scope; target rows were not profiled."
Catalog_Enrichment_Setting__c,SetupOwnerId,User,Id,N:1 per target type,Polymorphic reference,True,1,1,support,False,"One field can reference one of Organization, Profile, User. Coverage is field-level across all targets; isolate the target type before joining."
Catalog_Enrichment_Setting__c,CreatedById,User,Id,N:1,Standard reference,False,,1,support,True,Administrative relationship; optional for business reporting. Population was not profiled. Child reference is required by schema. This does not mean every parent has a child.
Catalog_Enrichment_Setting__c,LastModifiedById,User,Id,N:1,Standard reference,False,,1,support,True,Administrative relationship; optional for business reporting. Population was not profiled. Child reference is required by schema. This does not mean every parent has a child.
Charge_Component__c,OwnerId,Group,Id,N:1 per target type,Polymorphic reference,False,,0,support,True,"Administrative relationship; optional for business reporting. Population was not profiled. One field can reference one of Group, User. Coverage is field-level across all targets; isolate the target type before joining. Target is outside the described Tableau scope; target rows were not profiled. Child reference is required by schema. This does not mean every parent has a child. Child table is currently empty; this is an available schema relationship."
