child,field,target,targetField,status,reason
Order_Operation_Data__c,Seat_Category_Id__c,Seat_Category__c,Seat_Category_Id__c,Validated current keys; partial coverage,"Text-key candidate, not a Salesforce lookup. 115,864 of 934,484 child rows match the current target; 565,664 child rows have a source key. Target: 30 distinct nonblank keys across 30 rows."
Order_Operation_Data__c,Audience_SubCategory_Id__c,Audience_Sub_Category__c,Audience_Subcategory_Id__c,Validated current keys; partial coverage,"Text-key candidate, not a Salesforce lookup. 362,090 of 934,484 child rows match the current target; 934,484 child rows have a source key. Target: 38 distinct nonblank keys across 38 rows."
Order_Movement_Data__c,Seat_Category_Id__c,Seat_Category__c,Seat_Category_Id__c,Validated current keys; partial coverage,"Text-key candidate, not a Salesforce lookup. 215,108 of 1,073,651 child rows match the current target; 1,067,564 child rows have a source key. Target: 30 distinct nonblank keys across 30 rows."
Sale_Period_Seat_Category__c,Seat_Category_Id__c,Seat_Category__c,Seat_Category_Id__c,Validated current keys; partial coverage,"Text-key candidate, not a Salesforce lookup. 5,278 of 5,326 child rows match the current target; 5,326 child rows have a source key. Target: 30 distinct nonblank keys across 30 rows."
Access_Control__c,Product_Id__c,Inventory__c,Inventory_Id__c,Blocked: no current matches,"Text-key candidate, not a Salesforce lookup. 0 of 8,503 child rows match the current target; 5 child rows have a source key. Target: 1,058 distinct nonblank keys across 1,058 rows."
Order_Operation_Data__c,Performance_Id__c,Performance__c,Performance_Id__c,Validated current keys; partial coverage,"Text-key candidate, not a Salesforce lookup. 509,986 of 934,484 child rows match the current target; 541,482 child rows have a source key. Target: 3,414 distinct nonblank keys across 3,414 rows. Current key uniqueness is observed, not enforced. Recheck each refresh and preserve unmatched historical operations."
Order_Operation_Data__c,Product_Id__c,Inventory__c,Inventory_Id__c,Validated current keys; partial coverage,"Text-key candidate, not a Salesforce lookup. 569,549 of 934,490 child rows match the current target; 934,490 child rows have a source key. Target: 1,058 distinct nonblank keys across 1,058 rows. Target Inventory_Id__c is metadata-unique. This text-key mapping covers more current rows than the native lookup; use one deliberate product relationship, not both paths to the same Inventory table."
Order,Sales_Channel_Code__c,Sales_Channel__c,Code__c,Proposed; not profiled,"No native lookup. Code__c is not unique by metadata. Validate uniqueness, scope and historical coverage; retain order channel attributes when the catalog lacks channels."
Access_Control__c,Order_Id__c,Order,Order_Id__c,Incomplete source; not matched independently,"Only 5 of 8,503 access rows have Order_Id__c. Prefer the existing Order__c lookup when available (1 populated); direct text-key coverage was not independently measured."
Access_Control__c,Cultural_Contact_Number__c,Account,Contact_Number__c,Proposed; identity role unverified,"Only 4 of 8,503 rows have a cultural contact number. Confirm its business role and matching coverage before treating it as a buyer or ticket-holder relationship."
